Document,Path,Term,Definition
נוהל עבודה חבצלת פיגועים,,רשות מקומית אשר בתחומה אירע הפיגוע החבלני,"הרשות אשר בתחומה אירע הפיגוע הנה האחראית עד לזיהוי החלל. עם הזיהוי תפנה לרשות בה התגורר החלל, תעדכן ותסייע לה. רשות מקומית אשר בה התגורר החלל ושבתחומה מובא החלל לקבורה - האחריות לביצוע נוהל ""חבצלת פיגועים"" מוטלת על הרשות המקומית בה התגורר החלל. כאשר הפיגוע לא אירע בתחומה של הרשות המקומית בה התגורר החלל, תתעדכן רשות זו מהרשות המקומית בה אירע הפיגוע ותכנס לפעולה באופן מיידי. הרשות המקומית בה אירע הפיגוע תסייע לרשות המקומית בה התגורר החלל."
נוהל עבודה חבצלת פיגועים,,פיגוע חבלני /פעולת איבה,"הנם אחד מאלה: *פגיעה מפעולות איבה של כוחות אויב, לרבות פעולות איבה שאירעו מחוץ לישראל ומטרתן הייתה פגיעה בעם היהודי. *פגיעה בשגגה מידי אדם עקב פעולות איבה של כוחות אויב, או פגיעה בשגגה בנסיבות שהיה בהן מקום לחשש סביר שתבוצע פעולת איבה. *פגיעה מנשק שהיה מיועד לפעולות איבה של כוחות אויב, או פגיעה מנשק שהיה מיועד נגד פעולה כזאת, חוץ מפגיעה שנפגע בה אדם בן 18 ומעלה בזמן שהוא עושה מעשה פשע או עובר עבירה שיש בה זדון או רשלנות פושעת."
משעול,,"מתחם משעו""ל","אזור ההתערבות הנבחר. מתחם משעו""ל הינו מתחם רציף של בנייני מגורים, כאשר לו שני מאפיינים מרכזיים: ריכוז גבוה של עולים חדשים ותשתית פיזית רעועה ולא מתוחזקת. מספר המשפחות הממוצע במתחם משעו""ל הינו 350 ומספר הבניינים הממוצע הוא 4."
משעול,,סביבת מגורים,"הסביבה הכוללת של הדירה הפרטית. סביבת המגורים כוללת את הכניסה המשותפת ויוצאת החוצה לכיוון השטחים הציבוריים הפתוחים, שביל הגישה לבניין ומתחם האשפה. סביבת המגורים אינה כוללת רק את הדירה הפרטית."
משעול,,תושב מוביל שינוי,"דייר במתחם משעו""ל, אשר במסגרת פעילותו במתחם בתוכנית משעו""ל נכון לקבל על עצמו אחריות והינו שותף בעשייה במתחם, החל מרמת התיכנון והחשיבה ועד לשלב הביצוע והשימור. חלק אינטגרלי מצוות משעו""ל במחתם."
משעול,,שינוי,"שיפור איכות החיים במתחם, הן במובן הפיזי (תשתית וחזות) והן במובן המשפחתי- חברתי- קהילתי."
משעול,,שיפוץ מוגבל,שיפוץ פיזי בהיקף של עד 50.000 ₪. השיפוץ הינו שיפוץ חזותי- קוסמטי ואינו כולל החלפת או תיקון תשתית. בשיפוץ זה משתתפים הדיירים בעלויות באופן יחסי.
משעול,,שיפוץ מלא,שיפוץ בהיקף הגבוב מ- 50.000 ₪. השיפוץ כולל גם החלפת או תיקון תשתיות הבניין ואינו מוגבל רק להיבט הקוסמטי. שיפוץ שכזה ילווה בפיקוח הנדסי מלא ורציף מטעם התוכנית. שיפוץ מלא הינו תוצר של שיתופי פעולה בין גורמים שונים בישוב והדיירים משתתפים בעלויות באופן יחסי.
משעול,,וועדת היגוי ארצית,"וועדה המורכבת מנציגי מסד קליטה ומגורמים מקצועיים שונים. הוועדה פועלת כמלווה מקצועית וכבסיס לחשיבה משותפת והמשכיות התוכנית. הוועדה שוקדת על פיתוח מודלים חדשים והפעלתם. הוועדה מתכנסת אחת לשנה, בהנחייתה של המנהלת הארצית."
משעול,,וועדת היגוי ישובית,"פועלת במקביל לוועדת ההיגוי הארצית ומורכבת מגורמי מקצוע תוך ישוביים. הוועדה מתכנסת אחת לשנה בהנחיית רכז משעו""ל היישובי ובוחנת התקדמות ושיתופי פעולה תוך-ישוביים. הוועדה הינה חלק מתהליך ההטמעה היישובי של התוכנית."
משעול,,וועד בית,"הגוף המארגן את ההתנהלות השוטפת של בניין המגורים המשותף. התנהלות זו כוללת תחזוקה שוטפת, פתרון בעיות נקודתיות, נקיון ושמירה על סעיפי החוק הרלוונטיים לקיום בניין מגורים משותף. וועד הבית מורכב מנציגי דיירים ומקיים חשבון בנק שוטף. וועד הבית בתוכנית משעו""ל הינו התוצר הסופי והמתבקש של העבודה סביב הנושא הפיזי בבלוק. מצב חירום, בית משעול, פורום תושבים. אוכלוסיית יעד אוכלוסיות במתחמים שכונתיים המשלבים עולים וותיקים, תוך דגש על ריכוז גבוה של משפחות עולים. ייחודה של התוכנית הינו העבודה במתחם ספיציפי, תוך הגשמת הרעיון של העצמה ממוקדת והתייחסות כוללנית ומקיפה למגוון הבעיות והקשיים העולים מן המתחם."
תקציר דיווח מסר,,נתוני יסוד,"ראה הוראה 1.19 בתע""ס."
תעס חירום  - טיוטא (2) (2) (2),,שעת חירום/מצב מיוחד בעורף,"הוא מצב חוקי בישראל, המוכרז בעת שאוכלוסייה אזרחית בעורף מצויה תחת מתקפה ממושכת. ההכרזה מיועדת על מנת להקנות לשלטונות סמכויות שונות שיאפשרו לשמור על הסדר הציבורי ועל שלומם של האזרחים."
תעס חירום  - טיוטא (2) (2) (2),,"שעת חירום (שע""ח)","כינוי למציאות בה יש הכרזה פורמאלית (של הממשלה) על קיום שעת חירום במשק, בדרך כלל בזמן מלחמה. לכך ישנן השלכות נרחבות על התנהלות המשק וכלל פעילות מסגרת החיים האזרחית."
תעס חירום  - טיוטא (2) (2) (2),,מצב חירום,מצב בו התרחש אירוע אסוני בדרך כלל ברשות מקומית אחת או מספר בודד של רשויות.
תעס חירום  - טיוטא (2) (2) (2),,מטה חירום רשותי,"מורכב מההנהגה של הרשות, הכוללת את ראש הרשות, מנכ""ל, מנהלי המכלולים ומנהלי האגפים ברשות המקומית, מפקד היקל""ר ונציגי ארגוני החרום (משטרה, כיבוי אש, מגן דוד אדום). מטה זה, הוא הגוף האחראי על הפעלת הרשות בזמן אירועי חירום ובשגרת החירום – ועל מתן השירותים החיוניים לתושבים. מטה החירום ממוקם בדרך כלל בחמ""ל רשותי (""מרכז הפעלה"" – מרה""פ)."
תעס חירום  - טיוטא (2) (2) (2),,מכלולים,נדבך מרכזי במבנה הארגוני של הרשות המקומית בחירום
תעס חירום  - טיוטא (2) (2) (2),,בכל רשות ישנם מספר מכלולים קבועים,"מכלול מטה מינהלי לוגיסטיקה,הנדסה ותשתיות,מידע והסברה, אוכלוסייה ורווחה ,חינוך. מעגלי ההתייחסות של האוכלוסייה המטופלת."
תעס חירום  - טיוטא (2) (2) (2),,המעגל הראשון הוא מעגל החוסים בטיפול בסידור חוץ,"ביתי בפנימיות הרווחה לסוגיהן. למשרד יש אחריות ישירה לכלולים במעגל זה, הן בתחום קביעת המדיניות, הסטנדרטים והפיקוח, והן בתחום הפעלת המעונות, ביטחונם ושלומם של המטופלים, הבטחת איכות החיים ואיכות הטיפול. המעגל השני כולל בתוכו את האוכלוסיות שבתחום ייעודו של המשרד (כל האוכלוסיות שנכללות בנתוני היסוד של המשרד), המתגוררות בקהילה ברשויות המקומיות."
נוהלדיווחבמקריאורותאדומים,,"אירוע ""אורות אדומים""","מקרה בהם העו""ס, על פי המידע העומד לרשותו, מעריך כי קיימת או עלולה להתקיים, סכנה ממשית לחייו של אדם כלפי עצמו ו/או כלפי בן משפחתו ו/או כלפי אדם אחר."
נוהלדיווחבמקריאורותאדומים,,אירוע בו מתקיימים אחד או יותר מהמצבים הבאים," אירוע שאין לו פתרון במסגרת המענים הקיימים. אירוע, שלשם מניעתו, יש צורך במעורבות או בהתערבות של מערכות נוספות, כגון: משטרה, פסיכיאטר מחוזי וכדומה."
הטיפולבאסיריםמשוחררים,,אסיר משוחרר,"כמשמעו בחוק הרשות לשיקום האסיר, התשמ""ג-1983. אסיר משוחרר אזרח ישראל, שפנה לרשות בתוך שנה מיום שחרורו. יובהר כי בנוהל זה, אסיר משוחרר ברישיון (""שליש""), דינו כדין אסיר משוחרר אשר סיים לרצות את מלוא מאסרו."
הטיפולבאסיריםמשוחררים,,הרשות לשיקום האסיר,"כמשמעה בחוק הרשות לשיקום האסיר, התשמ""ג-1983. תפקידי הרשות הם : גיבוש מדיניות שיקום לאסירים, ובכלל זה מדיניות שיקום לאוכלוסיות אסירים מיוחדות ; הכנת תכניות שיקום לאסירים לקראת שחרורם בתיאום עם שב""ס, והפעלתן לאחר שחרורם ; קליטת אסירים ושיקומם בקהילה, לרבות בתחומי התעסוקה, הכשרה מקצועית, הבטחת הכנסה, דיור ושירותי בריאות ; ייזום, הקמה ופיתוח של שירותי עזר לשיקום האסיר, לרבות שירותי הכוונה וייעוץ ; סיוע למשפחות האסירים בעת המאסר ואחריו באמצעות לשכות הרווחה המקומיות וגופים אחרים ; תיאום בין משרדי הממשלה, הרשויות המקומיות והחברה האזרחית בנושאים הקשורים בשיקום האסיר ; עידוד פעילות התנדבותית בקרב יחידים וגופים בתחום שיקום האסיר, הדרכתם והנחייתם ; פיקוח על גופים מתנדבים העוסקים בשיקום האסיר וקביעת כללים להקצבות מתקציב הרשות לגופים אלה ; ייזום הצעות חקיקה ומחקרים לקידום ופיתוח נושא שיקום האסיר בישראל ; פעילות להגברת המודעות הציבורית לנושא שיקום האסיר."
הטיפולבאסיריםמשוחררים,,יועץ כלא,"קהילה ברשות לשיקום האסיר – עובד סוציאלי ברשות לשיקום האסיר, או עובד עם הכשרה אחרת שהוכר על-ידי מנכ""ל הרשות לשיקום האסיר, אשר תפקידו מחד לאבחן ולהפנות אסירים מתאימים לתכניות שיקום לקראת שחרורם, ומאידך לפקח וללוות את תכנית השיקום לאחר שחרורו של האסיר מבית הכלא. יועץ הרשות לשיקום האסיר בקהילה - אחראי על ייעוץ, פיקוח ובקרה על פעילות שיקום אסירים המתבצעת בישובים שבאחריותו. היועץ אחראי על פעילות רכזי שיקום האסיר, ובכלל זה על בניית תכניות שיקום לאסירים ועל הפעלתן. יועץ שיקום האסיר מדריך ומנחה את רכז שיקום האסיר. הנחייה זו, אפשר שתבוא בנוסף להנחיה אותה יתכן ומקבל הרכז במחלקה בה עובד."
הטיפולבאסיריםמשוחררים,,"עו""ס שיקום האסיר","עובד סוציאלי במחלקה לשירותים חברתיים, האחראי על הטיפול באסירים משוחררים תושבי עירו, בין הפונים מיוזמתם ובין המופנים מבתי הכלא, וכן אחראי על הטיפול בבני משפחות האסירים (לפירוט תפקידיו של רכז עו""ס שיקום האסיר, ראה נספח מס' 2 – רכז הרשות לשיקום האסיר בקהילה : הגדרת תפקיד ודרכי עבודה נספח 2."
הטיפולבאסיריםמשוחררים,,דרגתו תהיה רמה י',ח'.
הטיפולבאסיריםמשוחררים,,כפיפות,"רכז עו""ס שיקום האסיר ברשות המקומית יהיה בכפיפות ישירה למנהל מחלקת מחלקה לשירותים חברתיים.הרווחה או אגף הרווחה בהתאמה למבנה הארגוני."
הטיפולבאסיריםמשוחררים,,"ועדה להכנת תכניות שיקום – כהגדרתה בנוהלי שב""ס","הרשות לשיקום האסיר ובתקנות הרשות לשיקום האסיר. ועדת אבחון בראשותו של יועץ הרשות לשיקום האסיר ובהשתתפות עו""ס בית הכלא. הועדה מתקיימת בעניינם של כל האסירים השפוטים לתקופה שמעל לחצי שנה, ומטרתה גיבוש המלצה והחלטה באשר להמשך הטיפול באסיר לקראת מועד שחרורו המוקדם או המלא מבית הכלא. אוכלוסיית היעד אוכלוסיית האסירים הנה הטרוגנית, וחוצה מגזרים ושכבות באוכלוסייה. באופן כללי ניתן לומר כי אחוז ניכר מקרב אוכלוסיית האסירים סובל מבעיות התמכרות או שימוש לרעה בסמים או אלכוהול, וכן ניכרים שיעורים גבוהים יחסית לאוכלוסייה הכללית של תחלואה נפשית. טווח הגילאים של האוכלוסייה הנו בין 14 (גיל הכניסה המינימאלי לבית כלא) ועד בכלל, כאשר מרבית האסירים הנם בין הגילאים -30."
מיתר,,מרכז יום תומך רב,"תחומי (מית""ר) – מהווה מסגרת התערבות ייחודית, קצרת מועד ואינטנסיבית, הנמצאת על רצף השירותים הטיפוליים בקהילה. המסגרת הינה טיפולית, שיקומית, חינוכית, המופעלת באמצעות צוות רב מקצועי ."
תעס הטיפול באסירים משוחררים,,אסיר משוחרר,"כמשמעו בחוק הרשות לשיקום האסיר, התשמ""ג-1983. אסיר משוחרר אזרח ישראל, שפנה לרשות לשיקום האסיר בתוך שנה מיום שחרורו."
תעס הטיפול באסירים משוחררים,,"אסיר משוחרר ברישיון (""שליש"")","אסיר אשר נשא לפחות שני שלישים מתקופת מאסרו, ובלבד שנשפט לתקופת מאסר של למעלה מחצי שנה. וועדת השחרורים החליטה לשחררו עפי תנאים או ללא תנאים. ועדת השחרורים קובעת את תנאי שחרורו של האסיר, ורשאית אף לבטלו בגין הפרת תנאי השחרור. לשם גיבוש החלטתה, מקבלת ועדת השחרורים לידיה חוות-דעת של הרשות לשיקום האסיר, לעניין אפשרות שיקומו של האסיר לאחר שחרורו."
תעס הטיפול באסירים משוחררים,,הרשות לשיקום האסיר,"כמשמעה בחוק הרשות לשיקום האסיר, התשמ""ג-1983. תפקידי הרשות הם : גיבוש מדיניות שיקום לאסירים, ובכלל זה מדיניות שיקום לאוכלוסיות אסירים מיוחדות ; הכנת תכניות שיקום לאסירים לקראת שחרורם בתיאום עם שב""ס, והפעלתן לאחר שחרורם ; קליטת אסירים ושיקומם בקהילה, לרבות בתחומי התעסוקה, הכשרה מקצועית, הבטחת הכנסה, דיור ושירותי בריאות ; ייזום, הקמה ופיתוח של שירותי עזר לשיקום האסיר, לרבות שירותי הכוונה וייעוץ ; סיוע למשפחות האסירים בעת המאסר ואחריו באמצעות לשכות הרווחה המקומיות וגופים אחרים ; תיאום בין משרדי הממשלה, הרשויות המקומיות והחברה האזרחית בנושאים הקשורים בשיקום האסיר ; עידוד פעילות התנדבותית בקרב יחידים וגופים בתחום שיקום האסיר, הדרכתם והנחייתם ; פיקוח על גופים מתנדבים העוסקים בשיקום האסיר וקביעת כללים להקצבות מתקציב הרשות לגופים אלה ; ייזום הצעות חקיקה ומחקרים לקידום ופיתוח נושא שיקום האסיר בישראל ; פעילות להגברת המודעות הציבורית לנושא שיקום האסיר."
תעס הטיפול באסירים משוחררים,,"נציג רש""א בבית הכלא","עובד סוציאלי של הברשות לשיקום אסיר- עובד סוציאל, או עובד בעל הכשרה אחרת שהוכר ע""י מנכ""ל הרשות לשיקום האסיר, אשר תפקידו לאבחן ולהפנות אסירים מתאימים לתכניות שיקום לקראת שחרורם, ולגבש חוות-דעת המוגשות לוועדות השחרורים, באשר לכלל האסירים הנדונים בוועדות אלה."
תעס הטיפול באסירים משוחררים,,"מפקח אזורי של רש""א בקהילה","אחראי על פיקוח, בקרה וליווי פעילות השיקום המתבצעת בקהילה. בכלל זה, אחראי המפקח על פעילות עו""ס שיקום האסיר בישובים השונים, על בניית תכניות שיקום ועל הפעלתן לאחר שחרור האסירים מבתי הכלא. המפקח מדריך ומנחה מקצועית את עו""ס שיקום האסיר שבמחלקות לשירותים חברתיים. הנחייה זו תתבצע בתיאום עם מדריך/ ראש צוות במחלקות לשירותים חברתיים."
תעס הטיפול באסירים משוחררים,,"עו""ס שיקום האסיר","עובד סוציאלי במחלקה לשירותים חברתיים, האחראי על הטיפול באסירים משוחררים ואסירים משוחררים ברישיון תושבי עירו, בין הפונים מיוזמתם ובין המופנים מהרשות לשיקום האסיר, וכן אחראי על הטיפול בבני משפחות האסירים."
תעס הטיפול באסירים משוחררים,,דרגתו תהיה י,ח' בדירוג העובדים הסוציאליים.
תעס הטיפול באסירים משוחררים,,כפיפות,"עו""ס שיקום האסיר ברשות המקומית יהיה בכפיפות ישירה למנהל מחלקה לשירותים חברתיים ו/או למי מטעמו, ובכפיפות מקצועית למפקח אזורי של הרשות לשיקום האסיר."
תעס הטיפול באסירים משוחררים,,"רכז שיקום אזורי של רש""א","עובד סוציאלי האחראי ליישום תכנית השיקום לאסירים ברשויות קטנות בהן מספר האסירים קטן ביותר. עבודתו תשתרע על פני מספר רשויות בהתאם לקביעת מנהל המחוז ברשות לשיקום האסיר. מנהל המחוז של רש""א יהיה אחראי לתאם את עבודתו ברשות עם ראש הרשות המקומית, ולעגן את ההבנות בהסכם מפורט. הרכז יהיה בכפיפות מלאה לרשות לשיקום האסיר."
תעס הטיפול באסירים משוחררים,,"ועדה להכנת תכניות שיקום – כהגדרתה בנוהלי שב""ס","הרשות לשיקום האסיר ובתקנות הרשות לשיקום האסיר. ועדה בראשותו שלהרכב הוועדה: נציג הרשות לשיקום האסיר - י""רובהשתתפות ועו""ס בית הכלא. הועדה מתקיימת בעניינם של כל האסירים השפוטים לתקופה שמעל לחצי שנה, ומטרתה גיבוש המלצה והחלטה באשר להמשך הטיפול באסיר לקראת מועד שחרורו המוקדם או המלא מבית הכלא. אוכלוסיית היעד לא ברור מתוך הכתוב מטה מי הם אוכלוסיית היעד? האם כל האסירים המשוחררים? אוכלוסיית האסירים הנה הטרוגנית, וחוצה מגזרים ושכבות באוכלוסייה. באופן כללי ניתן לומר כי אחוז ניכר מקרב אוכלוסיית האסירים סובל מבעיות התמכרות או שימוש לרעה בסמים או אלכוהול, וכן ניכרים שיעורים גבוהים יחסית לאוכלוסייה הכללית של תחלואה נפשית. טווח הגילאים של האוכלוסייה הנו בין 14 (גיל הכניסה המינימאלי לבית כלא) ועד בכלל, כאשר מרבית האסירים הנם בין הגילאים 20-30."
תהליך קבלת החלטה באדם עם פיגור,,מפגר,"הגדרתו בחוק הסעד (טיפול במפגרים) התשכ""ט – 1969."
תהליך קבלת החלטה באדם עם פיגור,,אחראי על המפגר,"הורה, הורה חורג, אפוטרופוס או מי שהמפגר נמצא במשמורתו או בהשגחתו."
תהליך קבלת החלטה באדם עם פיגור,,ועדת אבחון,"גוף המוסמך עפ""י חוק הסעד (טיפול במפגרים) תשכ""ט – 1969 להחליט האם קיים פיגור שכלי. ועדה שמונתה ע""י שר הרווחה והשירותים החברתיים ותפקידה להחליט האם האדם הוא עם פיגור שכלי ואם כן תחליט גם על דרכי טיפול."
תהליך קבלת החלטה באדם עם פיגור,,מערכת האבחון,מערכת האחראית על מתן שירותי אבחון מקיפים ואוניברסאליים לצורך בדיקת רמת תפקוד וקיום/אי קיום מוגבלות שכלית התפתחותית ( פיגור שכלי).
תהליך קבלת החלטה באדם עם פיגור,,מרכז אבחון,"מסגרת רב מקצועית שזכתה במכרז של משרד הרווחה והשירותים החברתיים לאספקת שרותי אבחון, לצורך בדיקת קיום מוגבלות שכלית התפתחותית (פיגור שכלי) ומהווה חלק ממערכת האבחון ."
הדרכה קנויה ייעודית במחלקות,,הדרכה ייעודית,
הדרכה קנויה ייעודית במחלקות,,ועדה מקצועית לאישור ההדרכה,
הדרכה קנויה ייעודית במחלקות,,ועדה מקצועית לערעורים, אוכלוסיית היעד מנהלי מחלקות לשירותים חברתיים חדשים מדריכים ראשי צוותים
תעס וועדות תכנון טיפול והערכה,,הוועדה," הגדרה של הוועדה בתקנות הפיקוח על המעונות (אחזקת ילדים במעון רגיל), תשכ""ח 1968 שהותקנו מכח חוק הפיקוח על המעונות תשכ""ה 1965, (נספח א') וכן בחוק פעוטות בסיכון (הזכות למען יום) התש""ס-2000. (נספח 1)ב') ""וועדה שליד המחלקה לשירותים חברתיים ברשות המקומית שבתחומה מקום מגוריו של האחראי על קטין, שמתפקידה להחליט על דרכי הטיפול בילד, ושבראשה מנהל המחלקה לשירותים חברתייים של הרשות המקומית או עו""ס שהוא מינה..."" או שמציינים את כל ההגדרה או שמפנים לתקנות הפיקוח על המעונות."
תעס וועדות תכנון טיפול והערכה,,בוועדה משתתפים,"ההורים, הילד בהתאם לגילו והתפתחותו, צוות בין שירותי ורב מקצועי, אפוטרופוס / אפוטרופוס לדין אם מונה ויש העתק של כתב המינוי. מטרת הוועדה לבחון את הצרכים ולבנות תכנית טיפול מיטבית רב ממדית מותאמת לילד ולמשפחה. מופיע בהגדרת הוועדה."
הדרכה שיקומית DOC,,מורה שיקומי,"בעל תעודת הסמכה ישראלית או בעל תעודת הסמכה מגורם רשמי בחו""ל שנבדקה ואושרה עלי ידי השירות לעיוור."
הדרכה שיקומית DOC,,נותן השירות,זכיין גוף שזכה במכרז של משרד הרווחה והשירותים החברתיים לנושא זה.
הדרכה שיקומית DOC,,נותן שירותי תרגום,"כמפורט בהוראה 5.7 בתע""ס"
הדרכה שיקומית DOC,,מזמין השירות,המחלקה לשירותים חברתיים בהרשות המקומית או ארגון
הנהלים למתן טיפול סוציאלי ו או חומרי- 1.36,,טיפול סוציאלי,כל סוגי העזרה ושירותים סוציאליים למעט סעד.
הנהלים למתן טיפול סוציאלי ו או חומרי- 1.36,,סעד,עזרה חומרית ישירה או עקיפה שלגביה קיימים כללי 			זכאות.
הנהלים למתן טיפול סוציאלי ו או חומרי- 1.36,,מקום מגורים,"- מקום שבו אוכל אדם וישן, ואם מחמת עבודתו הוא אוכל וישן מחוץ לדירתו אך מבקר בה לעיתים קרובות - דירתו; ואולם אם הוא משרת בצה""ל, או מוחזק במעון או בבית סוהר, לא ייחשב מקום כאמור, בשל כך בלבד, למקום מגוריו; כהגדרתו בתקנות שירותי הסעד (טיפול 			בנזקקים), התשמ""ו - 1986 (ראה הוראה 1.1 בתע""ס). נוהלי הפניה"
8.14 נגיש,,"פנימייה– כהגדרתו בחוק הפיקוח על המעונות, התשכ""ה",1965.
8.14 נגיש,,פנימיית יום,"מסגרת שהייה טיפולית רב תחומית ואינטנסיבית בתוך מבנה הפנימיה האינטרנית המיועדת לילדים בגיל החביון (6-12) והוריהם. פנימיות היום נותנות מענה לרשות אחת או למספר רשויות הממוקמות באותו אזור גאוגרפי. פנימיית יום מופעלת ע""י גוף שזכה במכרז של משרד העבודה הרווחה והשירותים החברתיים להפעלת פנימייה ופנימיית יום."
8.14 נגיש,,ועדת תכנון טיפול והערכה,"כהגדרתה בהוראה 8.9 בתע""ס, להלן ""ועדה""."
8.14 נגיש,,רפרנט לפנימיית היום מהמחלקה לשירותים חברתיים,מדריך ראש צוות או עובד סוציאלי עם ניסיון בטיפול בילדים ומשפחות בסיכון. אוכלוסיית יעד
8.14 נגיש,,ילדים במצבי סיכון בגילאי 6,"12 שחלים עליהם הקריטריונים להשמה חוץ ביתית (סעיף 1(ג) ו- 1(ד) וסעיף 2 לתוספת הראשונה, לתקנות הפיקוח על המעונות – אחזקת ילדים במעון רגיל – תשכ""ו, 1965 – ראה נספח א') ובבתיהם יש פגיעה בשלומם ובהתפתחותם התקינה, מסיבות שמקורן בילד, בהורים או ביחסי הגומלין ביניהם (אולם לא נשקפת להם סכנה בחיק משפחתם). פרופיל הילדים המופנים לפנימיית היום מותאם לפנימייה שיקומית (ראה נוהל 0.9, סיווג אוכלוסיות, מסגרות חוץ ביתיות שירות ילד ונוער, נספח ב'). בהתאם לנוהל סיווג זה, ניתן לכלול בפנימיית היום עד 25% מהילדים המתחנכים בחינוך המיוחד – פרופיל טיפולי."
8.14 נגיש,,ילדים בגילאי 6,"12 ששהו בפנימייה מלאה, להם צורך בהכנה הדרגתית לחזרתם המלאה הביתה."
8.14 נגיש,,הורי הילדים (כפי שמוגדרים סעיפים 3.1 ו,3.2) המביעים נכונותם להשתתף בתכנית הטיפול האינטנסיבית שמציעה להם פנימיית היום. זהו קריטריון משמעותי המבחין בין ילדים שיופנו לפנימייה מלאה לעומת ילדים שיופנו לפנימיית היום. קליטת ילדים שלא בטווח גילאים זה תתאפשר במקרים ייחודיים שיבחנו ויאושרו על ידי מפקח הקהילה המחוזי בשרות לילד ולנוער. מטרות צמצום ומניעה של הצורך בהוצאה לטיפול במסגרת חוץ ביתית.
6.10 נגיש,,ארגון מפעיל,"גוף שנבחר במכרז על ידי משרד העבודה, הרווחה והשירותים החברתיים לצורך הפעלת מרכז תעסוקתי מוגן."
6.10 נגיש,,משתקם,אדם עם עיוורון/לקות ראייה או נכה המועסק במרכז תעסוקתי בעבודה יצרנית.
6.10 נגיש,,תשלום קבוע,"שכר בסיס בגובה של לפחות 50% משכר שעת עבודה בחברת ""המשקם""."
6.10 נגיש,,גמול ביצוע עבודה,השכר הנובע מתפוקת המשתקם.
6.10 נגיש,,תנאים סוציאליים,התנאים הסוציאליים מהווים 18.33% מהשכר כמפורט בסעיף 10.4 בהוראה זו.
6.10 נגיש,,ועדת תעסוקה מקומית,"ועדה ברשות המקומית שתפקידה לבחון, לדון ולהחליט עם המועמד על מידת התאמתו להשמה במרכז לתעסוקה מוגנת, השעייתו והפסקת ההשמה. אוכלוסיית היעד"
5.18 נגיש,,נכות גופנית,"קשיי תפקוד בתחום המוטורי כתוצאה ממחלה כרונית, קטיעה פגיעת ראש, פגיעת עמוד שדרה וכו'."
5.18 נגיש,,נכות חושית,"קשיי תפקוד בתחומים מרכזיים כגון: תקשורת, ניידות, וניהול חיי היום יום כתוצאה מחרשות ו/או עיוורון. ו/או עיוורון כל ליקוי בריאותי הגורם לפגיעה בלתי הפיכה שאירעה לאדם מלידה ועד גיל 18."
5.18 נגיש,,נכות התפתחותית,"כל ליקוי בריאותי הגורם לפגיעה בלתי הפיכה שאירעה לאדם מלידה ועד גיל 18. כתוצאה מפגיעה זו עלולים להופיע קשיי תפקוד בתחום המוטורי, ו/או החושי ו/או החברתי, ו/או הרגשי, ו/או ההתנהגותי."
5.18 נגיש,,מפעל מקדם תעסוקה,"מסגרת שיקומית הנותנת שירותי תעסוקה שיקום והכשרה, ומופעלת על ידי ארגון מפעיל שזכה במכרז של המשרד או על ידי הרשות המקומית."
5.18 נגיש,,גמול ביצוע עבודה,"התגמול הכספי יינתן לכל מקבל שירות בגין עבודתו, התשלום נובע מתפוקתו ומתשלום המתקבל עבור מוצרים המיוצרים במפעל."
